date_time,median
2015-11-24,36.0
2015-11-25,40.0
2015-11-26,48.0
2015-11-27,52.0
2015-11-28,66.0
2015-11-29,36.0
2015-11-30,22.0
2015-12-01,36.0
2015-12-02,47.0
2015-12-03,54.0
2015-12-04,41.0
2015-12-05,63.5
2015-12-06,85.0
2015-12-07,76.0
2015-12-08,79.5
2015-12-09,97.0
2015-12-10,16.0
2015-12-11,9.0
2015-12-12,16.0
2015-12-13,21.0
2015-12-14,29.0
2015-12-15,28.0
2015-12-16,28.5
2015-12-17,26.0
2015-12-18,37.0
2015-12-19,39.0
2015-12-20,36.5
2015-12-21,25.0
2015-12-22,24.0
2015-12-23,16.0
2015-12-24,11.5
2015-12-25,14.0
2015-12-26,25.0
2015-12-27,20.0
2015-12-28,14.5
2015-12-29,11.0
2015-12-30,9.5
2015-12-31,12.0
2016-01-01,19.0
2016-01-02,26.0
2016-01-03,38.0
2016-01-04,60.0
2016-01-05,52.0
2016-01-06,28.0
2016-01-07,24.0
2016-01-08,18.0
2016-01-09,20.0
2016-01-10,27.0
2016-01-11,29.0
2016-01-12,24.0
2016-01-13,39.0
2016-01-14,50.0
2016-01-15,56.0
2016-01-16,71.0
2016-01-17,91.0
2016-01-18,89.0
2016-01-19,96.0
2016-01-20,79.0
2016-01-21,63.5
2016-01-22,19.0
2016-01-23,30.0
2016-01-24,17.0
2016-01-25,18.0
2016-01-26,7.0
2016-01-27,12.5
2016-01-28,11.5
2016-01-29,12.0
2016-01-30,17.5
2016-01-31,11.0
2016-02-01,11.0
2016-02-02,8.0
2016-02-03,11.0
2016-02-04,17.0
2016-02-05,22.0
2016-02-06,39.0
2016-02-07,17.0
2016-02-08,17.0
2016-02-09,24.0
2016-02-10,31.0
2016-02-11,38.0
2016-02-12,38.5
2016-02-13,44.0
2016-02-14,50.0
2016-02-15,50.0
2016-02-16,55.0
2016-02-17,59.0
2016-02-18,62.0
2016-02-19,63.0
2016-02-20,69.0
2016-02-21,78.0
2016-02-22,74.5
2016-02-23,60.0
2016-02-24,62.0
2016-02-25,63.5
2016-02-26,62.0
2016-02-27,59.0
2016-02-28,61.0
2016-02-29,53.0
2016-03-01,45.0
2016-03-02,40.0
2016-03-03,27.0
2016-03-04,25.0
2016-03-05,29.5
2016-03-06,16.5
2016-03-07,6.0
2016-03-08,5.0
2016-03-09,8.0
2016-03-10,10.0
2016-03-11,13.0
2016-03-12,17.0
2016-03-13,15.0
2016-03-14,18.0
2016-03-15,24.0
2016-03-16,34.5
2016-03-17,42.0
2016-03-18,52.0
2016-03-19,56.0
2016-03-20,55.5
2016-03-21,59.0
2016-03-22,66.0
2016-03-23,58.5
2016-03-24,67.0
2016-03-25,29.0
2016-03-26,35.0
2016-03-27,28.0
2016-03-28,24.0
2016-03-29,17.0
2016-03-30,23.0
2016-03-31,41.0
2016-04-01,54.0
2016-04-02,68.0
2016-04-03,71.0
2016-04-04,77.0
2016-04-05,66.0
2016-04-06,62.0
2016-04-07,64.5
2016-04-08,28.5
2016-04-09,42.0
2016-04-10,57.5
2016-04-11,50.5
2016-04-12,52.0
2016-04-13,23.0
2016-04-14,23.0
2016-04-15,23.0
2016-04-16,26.0
2016-04-17,29.0
2016-04-18,24.5
2016-04-19,26.0
2016-04-20,27.5
2016-04-21,30.0
2016-04-22,38.5
2016-04-23,43.0
2016-04-24,43.0
2016-04-25,46.0
2016-04-26,58.5
2016-04-27,81.0
2016-04-28,92.5
2016-04-29,103.5
2016-04-30,87.0
2016-05-01,99.0
2016-05-02,90.0
2016-05-03,66.0
2016-05-04,75.5
2016-05-05,64.0
2016-05-06,56.0
2016-05-07,56.0
2016-05-08,54.0
2016-05-09,53.0
2016-05-10,56.5
2016-05-11,49.0
2016-05-12,50.0
2016-05-13,48.0
2016-05-14,44.5
2016-05-15,55.0
2016-05-16,54.0
2016-05-17,48.0
2016-05-18,59.0
2016-05-19,41.0
2016-05-20,17.0
2016-05-21,21.0
2016-05-22,23.0
2016-05-23,25.0
2016-05-24,31.5
2016-05-25,31.0
2016-05-26,37.0
2016-05-27,55.0
2016-05-28,80.0
2016-05-29,75.0
2016-05-30,41.0
2016-05-31,50.0
2016-06-01,42.0
2016-06-02,53.0
2016-06-03,80.5
2016-06-04,99.0
2016-06-05,96.0
2016-06-06,87.0
2016-06-07,80.0
2016-06-08,91.5
2016-06-09,78.0
2016-06-10,89.0
2016-06-11,96.0
2016-06-12,99.0
2016-06-13,81.0
2016-06-14,88.0
2016-06-15,81.0
2016-06-16,54.0
2016-06-17,41.0
2016-06-18,40.0
2016-06-19,39.0
2016-06-20,21.0
2016-06-21,36.0
2016-06-22,53.0
2016-06-23,76.5
2016-06-24,81.0
2016-06-25,89.0
2016-06-26,102.0
2016-06-27,96.0
2016-06-28,113.0
2016-06-29,107.0
2016-06-30,145.0
2016-07-01,161.0
2016-07-02,134.0
2016-07-03,130.0
2016-07-04,117.0
2016-07-05,135.0
2016-07-06,116.0
2016-07-07,32.0
2016-07-08,39.0
2016-07-09,39.0
2016-07-10,21.0
2016-07-11,4.0
2016-07-12,7.0
2016-07-13,18.0
2016-07-14,42.0
2016-07-15,66.0
2016-07-16,79.0
2016-07-17,86.0
2016-07-18,80.5
2016-07-19,85.0
2016-07-20,82.0
2016-07-21,70.0
2016-07-22,73.0
2016-07-23,82.0
2016-07-24,89.0
2016-07-25,87.5
2016-07-26,104.0
2016-07-27,91.5
2016-07-28,90.0
2016-07-29,101.0
2016-07-30,115.0
2016-07-31,118.0
2016-08-01,117.0
2016-08-02,111.5
2016-08-03,126.0
2016-08-04,94.0
2016-08-05,93.0
2016-08-06,109.0
2016-08-07,126.0
2016-08-08,131.0
2016-08-09,132.0
2016-08-10,112.0
2016-08-11,20.0
2016-08-12,23.0
2016-08-13,19.0
2016-08-14,15.0
2016-08-15,13.5
2016-08-16,20.0
2016-08-17,31.0
2016-08-18,38.0
2016-08-19,48.0
2016-08-20,51.0
2016-08-21,51.0
2016-08-22,30.0
2016-08-23,26.0
2016-08-24,26.0
2016-08-25,25.5
2016-08-26,38.0
2016-08-27,52.0
2016-08-28,65.5
2016-08-29,95.0
2016-08-30,105.0
2016-08-31,107.5
2016-09-01,105.5
2016-09-02,110.5
2016-09-03,117.0
2016-09-04,146.0
2016-09-05,121.0
2016-09-06,87.5
2016-09-07,91.0
2016-09-08,113.5
2016-09-09,110.0
2016-09-10,150.0
2016-09-11,129.0
2016-09-12,106.0
2016-09-13,54.0
2016-09-14,35.5
2016-09-15,7.0
2016-09-16,4.0
2016-09-17,6.0
2016-09-18,5.0
2016-09-19,10.0
2016-09-20,5.0
2016-09-21,5.0
2016-09-22,16.0
2016-09-23,10.0
2016-09-24,13.0
2016-09-25,12.0
2016-09-26,6.0
2016-09-27,8.0
2016-09-28,13.0
2016-09-29,19.0
2016-09-30,21.0
2016-10-01,21.0
2016-10-02,31.0
2016-10-03,54.0
2016-10-04,72.0
2016-10-05,88.0
2016-10-06,86.0
2016-10-07,110.5
2016-10-08,99.0
2016-10-09,78.0
2016-10-10,69.0
2016-10-11,47.0
2016-10-12,49.0
2016-10-13,68.5
2016-10-14,49.0
2016-10-15,23.0
2016-10-16,13.0
2016-10-17,12.0
2016-10-18,16.0
2016-10-19,16.5
2016-10-20,14.0
2016-10-21,4.0
2016-10-22,10.0
2016-10-23,3.0
2016-10-24,5.0
2016-10-25,7.0
2016-10-26,15.0
2016-10-27,9.0
2016-10-28,6.0
2016-10-29,8.0
2016-10-30,12.0
